source_text,pivot_text_en,backtranslated_text,accepted
makin mahal tapi makan turun kualitasnya 15rebu tidak ada ayamnya cuma mie doang,It's getting expensive but eating is down to 15rebu There's no chicken,Ini semakin mahal tapi makan turun ke 15rebu Tidak ada ayam,False
sudah tidak lezat mie ayam baksonya tidak seenak dulu dulu ada sambal buatan ci tasik yang sangat lezat sekarang cuma saus botol biasa baksonya juga keras tidak terasa daging sapinya,It's no good. The chicken meatball noodles aren't as good as they used to be. There's a delicious chili sauce.,Ini tidak baik mie bakso ayam tidak sebagus dulu ada saus cabai lezat,False
tololl cok bakul e sangean jangan beli gaes seng dodol sange untuk cewe cewe jangan pernah beli disinii,Don't buy ganjal e sangean gaes ding dodol sange for girls never buy here,Don't buy gal e sangean gaes ding dodol singe for girls never buy here,False
tempatnya nyaman bersih kane parah lah pokoknya mah,It's nice. Clean. Can't be too bad.,"Ini bagus, bersih, tidak terlalu buruk.",False
tidak lezat,It's not delicious,Ini tidak lezat,False
kalau pesen mie nya jangan kematangan,Don't let the noodles grow.,Jangan biarkan mie tumbuh.,False
kurang lezat,Less delicious.,Kurang lezat.,False
yang kerja muke kek jamet,"fontcolor="" # FFFF00""whommMukejake jamet",yang mereka pakai selai Jake,False
ibu ibu kurang ramah gorengan tidak lengkap rasa soto kurang gurih tolong diperbaiki terima kasih,Mom. I'm not very friendly. Fried.,"Ibu, aku tidak begitu ramah.",False
nampol sambelnyaa,sambelnyaa nampol,Sambelnyana nampol,False
mahal,Expensive.,Mahal.,False
rasanya pas warunge panas,It's hot as a teahouse.,Ini panas seperti warung kopi.,False
datang kesini mesen makan tidak banyak cuma 2 porsi nunggu sampe 1 jaman mesen air mineral aja tidak dikasih2 dikomplen makanan tidak datang2 bilangnya lagi dibuat sudah ditunggu tidak datang akhirnya bilang cancel aja eh buru2 kasirnya ke dapur untuk dibungkusin tidak bagus pelayanannya sangat lama makanan nya juga tidak terlalu lezat,Come here. Foods aren't much. Just two meals.,"Kemarilah, makanan tidak banyak, hanya dua kali makan.",False
kuahnya sudah baik tapi di saya masih keasinan ayamnya jenis broiler mienya baik baiknya dicampur mie putih pelayanan kurang ramah pas tanya tanya,"The gravy is fine, but I still have the chicken. The noodle broiler is good. It's good to mix white noodles.","saus baik-baik saja, tapi aku masih memiliki ayam. mie broiler baik. itu baik untuk mencampur mie putih.",False
porsinya kurang banyak,There's not much left.,Tidak banyak yang tersisa.,False
tempatnya tidak rame tidak jadi beli karena kuahnya kata pelayan agak pedas tidak boleh dipisah padahal dipisah untuk makan rombongan anak2 biar kuahnya bisa disesuaikan pas lagi makan kan harga juga sama alasannya oleh atasan tidak boleh dipisah aneh deh atasannya! kan yang penting beli sama harganya juga cm minta dipisah aja kalau tidak boleh ya sudah pelanggan jadi kabur,It's not Rame's place to buy because the boss said it's a bit spicy not to be separated while being separated to eat a group of kids let the gravy be adjusted right away eat the same price the boss shouldn't be separated,Ini bukan tempat Rame untuk membeli karena bos mengatakan itu agak pedas untuk tidak dipisahkan sementara sedang terpisah untuk makan sekelompok anak-anak membiarkan saus disesuaikan segera makan harga yang sama bos tidak harus dipisahkan,False
inovasi yang menarik rasa lumayan tapi bukan mie ayam yang terenak,Interesting innovation is good but not the best chicken noodles,inovasi yang menarik itu bagus tapi bukan mie ayam terbaik,False
mie ayam macam apa ini warung kaki lima harga bintang 5 porsi kecil dan mahal masa mie ayam 2 es jeruk 2 ampe 50rb mending kalau tempatnya proper lah ini cuma bangunan semi permanen gausah kesini lagi yang jual memberikan harga sesuai dengan penampilan dan tunggangan,What kind of chicken noodle is a five-foot stand? Five-point star. Small and expensive.,Mie ayam jenis apa yang berdiri lima kaki bintang lima poin kecil dan mahal.,False
pesen nunggu lama bawa anak kecil smpe kemringet giliran yang baru datang dilayanin dl !!!,"fontcolor="" # FFFF00""pensenwaitslong fontcolor00"" # 0000""takessthesempesthenewturnsservedddandl !!!",pensen menunggu lama mengambil ini dan membuat perubahan baru yang layak dan aku!!!,False
saya kan nyobain tuh first time biasalah kalau hari jumat keliling kuliner ma temen dan yang bikin terkejoet tu harganya bro maap aja ya inimah dari ukuran porsinya dikit rasanya biasa aja tempatnya agak kotor pelayanan juga biasa aja parkirannya juga bayar sendiri pesen mie ayam 2 porsi ma es teh dengan standarisasi begitu masa 40 rb,I'll try it on first time. Let's just say that on Fridays around the Kunier Ma'am and the one who made the dance cost bromap. Yes.,aku akan mencobanya pertama kali mari kita katakan bahwa pada hari Jumat sekitar Bu Kunier dan orang yang membuat tarian itu mahal bromap ya,False
kecewa banget ternyata porsi kecil bukan mangkok jago trs untuk harga terlalu mahal tidak sesuai porsi untuk rasa menurutku masih kurang mie kecap saos dan sambel belum menyatu rasanya dan pas bayar di kasir mba kasir pegang hp sambil liat menu saya kira mau cetak struk ternyata engga ada struknya samasekali habis 20rb mie es teh kacang 1 kurang wort it untuk pelajar mahasiswa saran sebaiknya ada tulisan harganya yang jelas di bannernya dan ada struk cetak maupun tulisan tangan dan untuk rasanya di perbaiki terima kasih,Disappointed. It turns out that small portions aren't really good bowls for the price. It's not exactly a portion for taste.,Kecewa. ternyata porsi kecil tidak benar-benar baik mangkuk untuk harga.,False
pelayanan lama pdhl kondisi lagi sepi apa enggane mie ne di cetak sit sih sue neora memper goli nunggu,Old service pdhl conditions are still lonely whether kate noodle ne printed sit though sue neora is waiting,Kondisi lama layanan pdhl masih kesepian apakah kate mie ne dicetak duduk meskipun menuntut neora sedang menunggu,False
baru pertama nyobaiin mie ayam disini lumayan lezat cuma kurang sopan sama pelayanan pegawainya,Just the first time taste chicken noodles here is quite delicious. Just rude to the staff service.,Hanya pertama kali mencicipi mie ayam di sini cukup lezat.,False
kuah bumbunya kurang medok terlalu light rasanyaa,The seasoning sauce lacks too much light to taste,Saus bumbu kekurangan terlalu banyak cahaya untuk rasa,False
order by wa tidak rekomendasi 2x kesalahan dari pihak resto yang nanggung customer!!,order by wa do not recommend 2x error from the resto party which stage customer!!!,order dengan tidak merekomendasikan 2x error dari resto pihak yang panggung pelanggan!!!,False
porsi rasanya sudah berubah tidak seperti dulu lagi melayani pembeli juga terlihat kurang ramah jualan memang capek tapi tidak gitu juga bro sedikit saran saja jika mungkin ada masalah lagi ada beban pikiran tolong jangan dibawa sampai tempat jualan dong kita bayar bro tidak ngutang,The portions have changed. Not the way they used to. The buyers don't look so friendly either.,tidak seperti dulu pembeli tidak terlihat begitu ramah.,False
untuk ojek online jangan ditarik parkir ngomong bose,Don't pull parking. Talk. Bose.,"Jangan parkir, bicaralah, Bose.",False
lezat murah sayangnya tempatnya sempit,It's delicious. Cheap.,Ini lezat./ Murah.,False
kemarin beli hari jumat setengah 12 siang mie nya tidak seperti biasanya biasanya lezat kmren kurang matang beda rasanya apa karena order tanpa micin jadi tidak enak? es tehnya kurang fresh entah pake stok hari sebelumnya atau karena terlalu kentel kurang ramah di lidah ngefek ke perut pada kunjungan sebelum tidak tersedia es teh karena teh masih panas mohon maaf ekspetasi saya seenak biasanya dan kemarin tidak sesuai,Yesterday buys Friday. Half-twelve afternoon. The noodles are not usually delicious.,Kemarin membeli Jumat setengah dua belas sore mie biasanya tidak lezat.,False
kalau saya kesini mending bayar di depan aja setelah pesan langsung bayar jadi setelah pesanan datang tinggal makan dan pulang biar tidak di sangka sangka gimana baru kejadian kali ini soalnya 07 08 25 baru kali ini juga makan disini diliatin semua pegawainya kayak pada curiga aja tau gitu dari dulu saya bayar di depan saja sebelum makan pesanan datang seumur umur baru disini kejadian seperti ini,"If I came here to pay for it in front of me after the booking, so after the order just came to eat and came home, I wouldn't have thought about how new it was. About this time, about 07, 08, 25 this time.","Jika saya datang ke sini untuk membayar untuk itu di depan saya setelah pemesanan, jadi setelah pesanan hanya datang untuk makan dan pulang, saya tidak akan berpikir tentang bagaimana baru itu.",False
lama,long,panjang,False
larang,Ban,Larang,False
omoo mood bangett,Really in the mood,Benar-benar dalam mood,False
mie ayame rasane kaya mie sarimi kuah parahnya gang sempit kaya kue di parkiri wis kapok ora maning2,Chicken noodles are rich in bad broth noodles. The narrow alleys are rich. The cake is parked in kapok ora maning2,Mie ayam kaya akan mie kaldu yang buruk. gang sempit kaya. kue diparkir di kapok ora maning2,False
sedikit lbh mahal,A little more expensive.,Sedikit lebih mahal.,False
harus dibenahi lagi biar ramai pengunjung,It's got to be cleaned up. Let's get more visitors.,Ini harus dibersihkan.,False
menurut info dari sodara saya katanya mengandung minyak bb benarkah? silahkan yang non muslim sudah hafal sebuah masakan pake minyak bb tidak review yang jujur ya,"According to my brother's info, he said it contains bb oil. Really? Please.","Menurut info kakakku, dia bilang itu berisi minyak bb.",False
rasa lumayanan sayang gada meja makan tanpa meja sangat tidak nyaman pdhl meja yang murah juga ada moga yang punya baca trus beli meja biar makan disitu lebih nyaman,It's a pity that there's no table without a table. It'll be uncomfortable at a cheap table. There's also a moga who has a read.,"Sayang sekali tidak ada meja tanpa meja, akan tidak nyaman di meja murah, ada juga moga yang telah membaca.",False
mie ayam the best in town higly recomended! tapi kalau yang masak orang pengganti ya rasanya tidak lezat,"Chicken noodles the best in town higly recommendd! but if you cook someone else's replacement, it's not delicious.","Mie ayam terbaik di kota higly disarankan! tetapi jika Anda memasak pengganti orang lain, itu tidak lezat.",False
pelayanan judes air es 2ribu pula dimana mana air es 1 ribuan,The harsh service of ice water 2 thousand more where ice water is 1 thousand,Pelayanan keras air es 2 ribu lebih mana air es adalah 1 ribu,False
tinggal pilih bsa borong,Just pick a boronable option.,Pilih saja pilihan yang mudah patah hati.,False
gelo original nya medok parahh,The original gelo is in bad shape.,Gelo asli dalam kondisi buruk.,False
pelayanan payah pas datang meja masih penuh mangkok sisa tamu yang dateng pake nunggu aernya abis tehnya kosong karena sudah masuk akhirnya terimain aja,The service sucks when it comes. The table is full. The rest of the guests are waiting for the tea to be empty.,Layanan menyebalkan ketika datang. meja penuh. sisa tamu sedang menunggu teh kosong.,False
rasa tidak bohong beneran lezat hampir tiap minggu sempetin makan malem disini cuma yang ngeselin adalah tukang parkir nya orang orang males kerja,I don't think it's a lie. It's delicious. Almost every week.,aku tidak berpikir itu bohong ini lezat hampir setiap minggu,False
makanan lumayan lezat yang sangat disayangkan pelayanan sangat buruk terkesan tidak ramah dengan pembeli lebih diperbaiki lagi dalam melayani customer yang datang apa tidak diajarkan 3s dalam melayani customer ? kecewa sekali dengan pelayanan yang buruk,A pretty tasty meal. It's a shame. The service is so bad.,"Makanan yang lezat, memalukan, layanannya sangat buruk.",False
selera orang beda2 mngkn ini bukan seleraku yang tidak terlalu suka muaniss poll untuk apa disediakan saos dan kecap kalau mie nya sudah muanisss dan pedas tidak rekomendasi untuk yang bawa anak kecil beli karena penasaran aja d review sm food blogger tempat jorok toilet bau pesing pelayanan lama staff judes gada senyum2nya say to sorry ini pertama dan terakhir,"fontcolor="" # FFFF00""pascistpeoplelike fontcolor00"" #color=="" FFFF""Thisisnotmythipe fontcolor FFFF=""notmylikesthatare notso muchlikeanisspolls fontcolorcolor= # ."" fontcolor ="" # 'causeIamnotsociated fontcoloratelylike font color = ""# FFFF}soilforwhat does thesand soy sauces font colorcolor=FFFF00="" fontcolor"" # 0000""whenthe noodles are muanisss",ini bukan aksiku bukan urusanku yang seperti itu yang tidak disukai orang-orang karena aku tidak disosiasi seperti itu karena apa yang dilakukan dan saus kedelai saat mie mutans,False
lezat pasti dong tempatnya aja yang kurang tapi ggp lah,It's delicious. It'll be less of a place. But please.,"Ini lezat, ini akan menjadi tempat yang kurang, tapi tolong.",False
pelayanannya kurang menyenangkan posisi lagi nungguin minumnya dianter alat makannya tiba2 diambil trus dipindah ke meja lain padahal tidak diminta trus sudah pergi gitu aja bikinin pesenan orang lain pesen minum juga lama banget gatau ngapain meja sebelah sampe pulang bahkan minumnya tidak keluar sayang sekali padahal lumayan makanannya dan tukang parkirnya solutif,The ministry is not pleasant enough to be waiting for a drink to be held while being taken and moved to another table while not being asked to go there. Just making other people's drinks a long time ago or doing the table next door until they don't even drink it out. It's too bad that the food's not bad and the parking is solutive.,Kementrian tidak cukup menyenangkan untuk menunggu minuman yang akan diadakan sementara sedang dibawa dan pindah ke meja lain sementara tidak diminta untuk pergi ke sana. hanya membuat minuman orang lain lama atau melakukan meja sebelah sampai mereka bahkan tidak meminumnya.,False
josjis lezat bagus tapi pelayananya kurang cepat,The josjis are delicious. Good. But the service's not fast enough.,"Josjis sangat enak bagus, tapi layanannya tidak cukup cepat",False
idul adha buka ora kie lik?,Idul adha open the kie lik?,Idul adha membuka kie like?,False
panas bet tempatnya anjay uap kompor perih di mata gerah kena uap nya mahal doang tapi tidak nyaman makan di tempat mending manggil kang bakso grobak,"fontcolor="" # FFFF00""hotbetwhereanjaypeoper steam fontcolor00"" # 00FF00"" fontcolor"" #color= # 00""thepeerpeerweaterinthe eyes fontcolor FFFF=""her steam font color="" ""but not comfortable eating at the table call for meatballs",panas di mana ada jaypeoper steam tapi tidak nyaman makan di meja panggilan untuk bakso,False
mie ayam lezat cuma pelayanan kurang ramah,Chicken noodles are delicious. They're just not friendly.,"Mie ayam lezat, tapi tidak bersahabat.",False
kaget pas dateng porsinya cukup banyak rasanya cenderung ke arah manis,Shocked when it comes to serving quite a lot. It tends to be sweet.,"Aku terkejut saat melayani cukup banyak, cenderung manis.",False
rasa miago dan baksonya lumayan lezat tapi tidak seenak pertama kali waktu buka dulu sekarang kurang asin dikit tapi tidak disediakan garam mejanya pelayanan nya kurang ramah tidak pernah senyum kasirnya,The taste of miago and meatballs is quite delicious but not as good as the first time. Open it first. Now it's less salty.,rasa miago dan bakso cukup lezat tapi tidak sebagus pertama kali buka dulu sekarang rasanya kurang asin,False
lupa tidak foto,forget not photo,lupakan bukan foto,False
nylekamin pokoe,"fontcolor="" # FFFF00""gamingpokoe",gamingpokoe,False
pelayanan kurang ramah pesanan ada yang salah dan kurang diperhatikan ketika dikoreksi reaksi dan tindak lanjutnya kurang memuaskan mohon untuk diperbaiki ke depannya,A less friendly service order is wrong and unconcerned when correcting his reactions and follow-up is less satisfying. Please fix it for the future.,Perintah layanan yang kurang bersahabat salah dan tidak peduli ketika mengoreksi reaksi dan tindak lanjutnya kurang memuaskan.,False
masa iya gue beli mie ayam esteh 20rb mana rasanya kurang banget lagi hambarr banget tempat nya kotor ada tikusnya terus sambal kecap dll itu untuk barengan tidak disediain sendiri di meja kan aneh bukannya mau ngejelekin apa gmna tapi review jujur aja benar benar nyesel makan disitu,"fontcolor="" # FFFF00""yesIamIbought chicken noodles fontcolor FFFF=""20rb fontcolor00"" fontcolor"" #color=="" FFFF""whereit'snottoolessnotso bad fontcolor ="" # 0000""",ya aku beli mie ayam 20rb di mana tidak terlalu buruk tidak begitu buruk,False
saya makan disini bertiga dengan teman tidak nyaman banget rasanya orang lagi makan kok diliatin sama semua pelayannya kaya tidak pernah liat cwe makan aja kalian saya bayar loh bukan ngutang!!! mau saya tegur posisi pelayannya cowo semua ada sekitar 4orang tolong lah dikondisikan saya bener2 tidak sudi untuk makan mie ayam distu lagi,I'm eating here all three days with a friend It's uncomfortable to eat so much people are looking around,Aku makan di sini semua tiga hari dengan teman lt tidak nyaman untuk makan begitu banyak orang melihat-lihat,False
rasanya kurang porsi dikit tekstur mie kenyal harga terbilang mahal untung semangkuk harga 12k esteh 6k kacang 2k padahal isinya cm 1 sendok,I don't think it's enough. A little bit less. The noodles are chewy.,aku tidak berpikir itu cukup sedikit kurang mienya kenyal,False
pelayanan buruk mie nya hambar,Bad service. Her noodles are bland.,Layanan buruk. mie nya hambar.,False
enk,Enk,Enk,False
mie nya terlalu lembek kematengan casim masih mentah meja kotor tidak dilap bersih masih banyak sisa makanan dan minyak mangkok sisa orang makan tidak cepet2 diberesin dibiarin nyampe lama pdhl karyawan pd didepan semua entah lagi pd ngapain toilet terjoroookk kotor banget sampah2 depan toilet dibiarin doang tempat cuci mangkoknya juga jorok banget berserakan dibawah sumpit2nya juga pd jatuh kebawah mangkok kotor numpuk bekas wadah ayam kotor dibiarin gt aja dibawah ntah siapa yang mau nyuci itu karyawannya didepan semua trs yang beresin mangkok2 dimeja bekas orang makan juga cuma 1 orang kasian tidak ada yang bantuin pdhl banyak banget mangkok bekas2 orang makan kalau sistemnya tidak langsung bayar sih cabut aja dari situ kapok deh pokoknya makan disitu jorok sudah dibela2in dari jauh tapi nyatanya zonkkk,The noodles are too soft. Casim is still raw. The dirty table isn't wiped clean.,mie terlalu lembut Casim masih mentah meja kotor tidak dibersihkan,False
makanan sudah populer rasa baik minusnya 1 parkir mobil susah 2 parkir motor terlalu mendekat tempat makan terlalu masuk 3 tempat duduk agak uyel²an,Food has been popular. Good taste. minus 1 parking car.,Makanan telah populer selera yang baik minus 1 mobil parkir.,False
sambelnya kenapa di campur boncabe ? kn rasanya jdi kurang lezat,What's with the boncabe?,Ada apa dengan boncabe?,False
mahal harganya 14 000 kasih harga sewajarnya aja ada tukang parkir lagi,It's expensive. It'll cost 14 000. Just give me the price.,"Harganya 14 000, berikan saja harganya.",False
ntaps,talps,Tawanan,False
banyak yang harus diperbaiki terutama untuk ojek online prioritas utama,"There's a lot to fix. Especially for an online project, first priority.","Ada banyak yang harus diperbaiki terutama untuk proyek online, prioritas pertama.",False
riview jujur aja krna kecewa pelayanan nya buruk banget setiap meja cuma dikasi bbrpa sambel jadi tiap ada yang beli lagi makan malah keganggu bolak balik bumbunya di ambil untuk di pindah kualitas sambelnya juga bad banget untuk hrga sedikit kaget krna cuma beli mie ayam sm esteh 20k tapi rasanya benar benar jauh dari kata lumayan kalaupun rasanya sepadan pasti juga saya wajar aja sama harga segitu kondisi ruangan tidak di perbaiki jadi banyak debu mie nya juga gada rasanya sama sekali,Riview. Honestly. Because of the disappointment of the service.,"Riview, jujur saja, karena mengecewakan layanan ini.",False
lezat tapi daging ada tulang jadi saya kurang suka,delicious but no meat bone so I don't like it,lezat tapi tidak ada tulang daging jadi aku tidak menyukainya,False
ini mie ayam gada ayamnya gimana cerita? aneh bet sudah ujan² kirain bakal lezat malah gini beli tgl 7 10 22 jam 2 siang kurang,"fontcolor="" # FFFF00""This chicken noodle fontcolorcolor=="" FFFF""how do you say? fontcolor00"" # 200""Freakbejan2 fontcolor ="" # 0000""Ithinkit'llbe delicious fontcolor"" # ofthis fontcolor FFFF=""letme buy 71022 at200""","mie ayam ini bagaimana menurutmu? Biar aku beli 71022 at200""",False
tempat nyaman hanya saja sop bu tutup agak terlalu tipis dan kurang empuk,"Nice place. It's just the soup. Ma'am, it's a little thin and a little soft.","tempat yang bagus ini hanya sup nyonya, ini sedikit tipis dan sedikit lembut",False
ayamnya kurang,The chicken's missing.,Ayamnya hilang.,False
pelayanan lambat,Service is slow,Layanan lambat,False
enaakk parah !!,Holy shit!,Astaga!,False
makanan lama datengnya dan ada beberapa makanan yang dipesan kosong,The old food comes and there's some food that's ordered empty.,Makanan lama datang dan ada beberapa makanan yang dipesan kosong.,False
tempat sempit apalagi pas waktu makan siang bisa antre berdesakan,Small place. Especially when it's lunch time. Get in line.,"Tempat kecil, terutama saat jam makan siang, berbaris.",False
sudah sering makan disini padahal dan sebenarnya lezat mie ayam nya tapi kecewa dengan pelayanan malam ini saya dan keluarga datang duluan sudah pesan es teh manis dan makan kerupuk juga tapi sayangnya pesanan saya tidak kunjung tiba setelah dilewat oleh 3 pengunjung yang datang setelah saya malah mereka diberikan mie ayam dahulu akhirnya saya dan keluarga keluar dari lokasi karena kesal mie ayam tidak kunjung tiba saya katakan kepada kasir untuk melihat cctv untuk melihat mana yang datang dahulu sekalian membayar es teh manis 2 dan kerupuk 1 dengan memberikan uang rp 20 000 tapi kata kasir tidak usah akhirnya uang nya diberikan ke anak saya mohon agar lebih teliti lagi dalam antrian pelanggan nya di perbaiki terimakasih,It's been a lot to eat here since it's actually delicious. The chicken noodles are actually delicious but disappointed by tonight's service.,Makan di sini sudah banyak karena benar-benar lezat mie ayam sebenarnya lezat tapi kecewa dengan layanan malam ini.,False
lezat tapi cukup lama pesanannya,"It's delicious, but it's been a while.","Ini lezat, tapi sudah lama.",False
mie nya lezat ini deket sama sman1 purwokerto tapi yang jadi problem sih parkir dan tempat makan karena yang beli banyak tempat nya sempit,"The noodles are delicious. It's close to Sman1 purwokerto, but it's a problem. Parks and places.","Mienya enak, dekat dengan Sman1 purwokerto, tapi itu masalah.",False
enakkk tapi umpel umpelan,It's good but umpell umsilk,Ini bagus tapi umpell umsilk,False
ngelayanin pembeli yang baru dateng duluan ahhah!!,To serve a new buyer first ahhah!!,Untuk melayani pembeli baru pertama ahhah!!,False
muraah pelayanannyaa baikk,Good service.,Pelayanan yang bagus.,False
alangkah lebih bagusnya lagi jika yang jual mau senyumm biar pembeli bahagia kayaknya pelit banget untuk ramah ke pembeli,How much better it would be if someone would smile so that the happy buyer would be so cheap to be friendly to the buyer,Betapa jauh lebih baik itu akan jika seseorang akan tersenyum sehingga pembeli bahagia akan begitu murah untuk menjadi ramah kepada pembeli,False
sudah jauh2 mukbang tempatnya kotor petang gimana gitu rasa mie ayamnya kurang lezat ayamnya tidak harum baksonya rasa ayam juga,"fontcolor="" # FFFF00""it'sfaraway downdownpouringevening fontcolor ="" # 0000""howsothe chickenmilguesisnot delicious fontcolor00"" # 1 FFFF000""notsmells meatballs fontcolorcolor=="""" #00""",jauh sekali turun ke bawah sore malam ini kok ayam susunya tidak enak tidak ada bau bakso,False
tidak lezat blas,It's not delicious blas,Hal ini tidak blas lezat,False
setenar itu untuk saya pribadi rasa b banget ayam kurang empuk kering bumbu tidak meresap mungkin konsepnya seperti itu es teh juga tehnya tidak berasa,"fontcolor="" # FFFF00""stenartomyself fontcolor"" #color= # 00""boughtsarenotspoiled fontcolor00"" # 0000""poilsnotindigent fontcolor FFFF=""maybethe conceptslikethat fontcolor ="" #00""Icedtea alsonottasted",lembut terhadap diri sendiri mungkin konsepnya seperti itu sudah tidak tercemar poils not indigent mungkin konsep seperti itu,False
lumayan baksonya sayang tempat tidak memadai dan pelayananya buruk banget mahal lagi,"fontcolor="" # FFFF00""not badballs fontcolor00"" # 00FF00""basicspaceis inadequate andthetreatmentisbadagain",bukan bola yang buruk dasar ruang angkasa tidak memadai dan pengobatannya buruk lagi,False
harga mahal tapi estehnya kaya tidak pake gula gaada tisu di meja,"It's expensive, but it's rich. No sugar. No tissue on the table.","Ini mahal, tapi kaya, tanpa gula, tanpa tisu di meja.",False
pelayanan nya lama kurang ramah dan bikin males pokoke bikin tidak seneng lh,His long service was unfriendly and made me feel bad about it.,Pelayanannya yang panjang tidak ramah dan membuat saya merasa bersalah.,False
mie ayam porsi gede tapi asin kurang bumbu sangat terasa mecin nya dan berminyak di mangkok nya ada tulisan proteina jadi bertanya tanya apakah ayam nya sudah pakai ayam sintetis proteina kan serem juga ya bukan ayam asli gitu lho jangan beli es jeruk disini es jeruknya encer dan rasanya aneh kayak yang ada bau apek seperti jeruk sudah tidak seger dibikin minuman ada rasa bau sabun nya juga overall tolong diperbaiki kualitas dan kebersihan makanan dan minuman yang dijual ya kasihan kalau nanti pelanggan nya pelan2 pada pergi semua,"Chicken noodles are a big meal, but they're not very salty. It's very salty and oily in the bowl. There's protein writing.","mie ayam adalah makanan yang besar, tetapi mereka tidak terlalu asin. sangat asin dan berminyak di dalam mangkuk. ada protein menulis.",False
makanan lezat tapi pelayanan buruk banget reservasu untuk bukber makanan belum dateng sampe 1 jam!!! tolong pelayanan ditingkatkan harusnya reservasi tuh makanan sudah siap makan paling engga nunggu ya 10 mnt,Food is delicious! But the service is bad. The food is not ready yet.,"Makanannya enak, tapi layanannya buruk, makanannya belum siap.",False
belum istimewa,Not special yet.,Belum istimewa.,False
mohon tingkatkan pelayanan agar lebih baik demi kenyamanan pembeli karena dari segi pelayanan terburuk sih jadi sangat disayangkan,Please increase the service for the convenience of the buyer because the worst service aspect is unfortunate.,Mohon meningkatkan layanan untuk kenyamanan pembeli karena aspek layanan terburuk tidak menguntungkan.,False
pegawai tidak ramah payah banget,Officers aren't so nice. It's so lame.,Petugas tidak begitu baik.,False
sebelah nya bakso cak mat berisik banget karaoke nya mending kalau suara nya bagus buruk,"fontcolor="" # FFFF00""besidesballcakmat fontcolor00"" fontcolor ="" # 00FF00""sbusy fontcolor"" #color=="" FFFF=""scaroke font color ="" font color="" ""ifthesoundsgoodbad",disebabakbaIIcakmat Kalaukedengarannyaburuk,False
pelayanan yang leled pelayanan nya mengecewakan padahl sudah langganan tapi baru ini bikin eneg banget harusnya sudah di siapin bahan nya kalau kiranya bahannya abis bilang kosong sudah bayar nunggu makanannya lama banget eh makanan sudah dateng minumiman alesan es nya abis knp tidak dari awal aja sblum pesen harusnya nngomong dari awal sudah tidak lagi makan disini pesenan lama sama yang baru masa yang baru sudah di kasih eh yang lama tidak di bikin pekok banget pekokkk masa yang beli es belum dateng alesan es abis eh karyawannya aja sudah bikin es sampe mie nya abis tidak dateng sampe di tegur berkali karyawannya sabar sabar sampe kapan sabarnya woy makanan juga dah abis cukup ini yang terakhiir kali makan disini,The service that lelled his service was disappointing to him. It's been a regular practice. But this new ice pack should have been prepared from the beginning.,Layanan yang menurunkan layanannya mengecewakannya itu sudah menjadi latihan biasa tapi es baru ini seharusnya disiapkan dari awal,False
miene lembek banget tidak kayak dlu jaman kuliah topingnya memang masih banyak,"It's so soft, it's not like there's a lot of college.","Hal ini sangat lembut, tidak seperti ada banyak perguruan tinggi.",False
kerja sama pelayanan 0 manajemen 0 manajemen pesanan yang masuk dan yang selesai kacau karyawan saja yang banyak sebaiknya pakai sistem nomor antri untuk nomor antri atau nomor meja pesanan diberitahu pesanan kurang dibentak balik dianggap tidak ada nota seketika kicep ketika diberi nota cukup sekali saja ke sini kipas diganti saja dengan yang tempel tembok saja,Service work 0 management 0 order management is coming in and the finished are a lot of employees should use the number system to line up or the order table number is told the order is less bullied,Layanan pekerjaan 0 manajemen manajemen urutan manajemen 0 manajemen datang dan selesai banyak karyawan harus menggunakan sistem nomor untuk berbaris atau nomor urutan tabel diberitahu urutan kurang diganggu,False
sayang sekali lahan parkirnya kurang,Too bad the parking lot wasn't enough.,Sayang sekali parkir tidak cukup.,False
lezat si lezat banget tapi kecewa banget d ksh mie dingin yang org lain salah pesen padahal sudah saya kasih tau saya gamau yang itu smpe meja cm disiram air panas ttp dingin mbak mie nya,Delicious. It's delicious. But disappointed.,"Lezat, lezat, tapi kecewa.",False
nyam nyam nyam,Yumyum,Yumyum,False
tempatnya kurang lebar kalau lagi rame susah kebagian tempat,The place isn't wide enough for Rame to get anywhere.,Tempat ini tidak cukup lebar untuk Rame untuk mendapatkan di mana saja.,False
mie ayam disini lezat banget bumbunya tuh beda dari yang lain lebih ke kaya bumbu rendang si menurutku cuma kemarin bikin kecewa niatnya mau ngasih tau mie ayam lezat ke kakak malah jadi ngecewain gegara pelayanannya benar benar lama dibilang nunggu setengah jam okey ditunggu malah samoe sejam kita maklumi tapi kok tidak dateng dateng sampe sejam lebih akhirnya tek perhatiin nih orang yang baru dateng kok cepat banget makanannya dateng akhirnya nyamperin ke kasirnya kaget tuh kelewat pesanan saya mana yang cowo² pada nyalahin tidak ada struk pesanan yang nempel di tempatnya lagi pantes aja saya sama kakak saya lagi minum es teh sambil liat hp pas nunggu pesanannya dateng diliatin mulu sama karyawannya dipikir kita cuma duduk mesen esteh doang kali ya tidak ada yang minta maaf orang laper dikasih cobaan hawa panas terus kesalahan kaya gini siapa yang tidak emosi saran saya karena sudah sering rame dikasih nomor antrian nya kak di meja sama untuk dipegang pembelinya biar urut sama etika penjualan lebih ditingkatkan seperti minta maaf jika ada kesalahan,Chicken noodles here are so delicious lt's so delicious,Mie ayam di sini enak sekali. Enak sekali.,False
pelayannya buruk tidak ramah judes,Bad maids don't be mean.,Pembantu yang buruk tidak berarti.,False
